line_id,point_index,surface_x_mm,surface_y_mm,surface_z_mm,tcp_x_mm,tcp_y_mm,tcp_z_mm,normal_x,normal_y,normal_z,qx,qy,qz,qw,surface_angle_deg,cumulative_distance_mm,process_on
0,0,-40.0,-40.0,30.000003814697266,-38.934031482629756,-41.08232810501508,31.30087928647385,0.5329842586851206,-0.54116405250754,0.6504377358882931,0.9035054093831338,0.09432307861580055,-0.2608458907646367,-0.3267117281749412,49.425386582135296,0.0,1
0,1,-39.0,-40.0,29.178401947021484,-37.945830568281146,-41.087045215188674,30.484946821629684,0.527084715859426,-0.5435226075943375,0.6532724373041006,0.9044073115985051,0.09318601493365236,-0.25770136573604213,-0.3270378990969217,49.21121355912451,1.2815260767672643,1
0,2,-38.0,-40.0,28.377605438232422,-36.961755679252484,-41.09329690731089,29.691664266025143,0.5191221603737567,-0.5466484536554442,0.6570294138963608,0.9056012646758386,0.09165727666531609,-0.2534736999102135,-0.32746965738163686,48.92628941937177,2.5455433566719483,1
0,3,-37.0,-40.0,27.597606658935547,-35.981931859689986,-41.101031104464944,28.920961399240056,0.509034070155007,-0.550515552232471,0.6616773701522555,0.907076192507515,0.089729961897893,-0.24814380582736625,-0.3280029977810914,48.57207562208763,3.7921778035160942,1
0,4,-36.0,-40.0,26.83840560913086,-35.002536242293054,-41.108718777008725,28.171000343312794,0.4987318788534718,-0.5543593885043617,0.6662973670909679,0.9085398752154714,0.08777231163037431,-0.24273002044202457,-0.3285322718253572,48.21806700729049,5.0257565245926985,1
0,5,-35.0,-40.0,26.10000228881836,-34.02357179409854,-41.116352249300874,27.441771871943917,0.4882141029507318,-0.5581761246504366,0.6708847915627784,0.9099909090583113,0.08578427135913291,-0.23723219291814898,-0.329056972060853,47.86460978326819,6.24649557294948,1
0,6,-34.0,-40.0,25.382404327392578,-33.045041549488765,-41.12392367755743,26.733274389546214,0.4774792252556169,-0.5619618387787145,0.6754350310768179,0.9114278980241137,0.08376575816976034,-0.23165012067802626,-0.32957655567629035,47.512058018300614,7.45461288873706,1
0,7,-33.0,-40.0,24.685604095458984,-32.066947234041145,-41.1314250286197,26.045490098236215,0.4665263829794273,-0.5657125143098521,0.679943001388615,0.9128493088936279,0.0817168278063538,-0.22598388984022194,-0.33009056460064856,47.16081086831648,8.650343624125052,1
0,8,-32.0,-40.0,24.009601593017578,-31.089290448597634,-41.138847769640236,25.378409055946516,0.4553547757011837,-0.5694238848201184,0.6844037314644692,0.9142536491704397,0.07963749563345722,-0.22023358550062136,-0.33059840000415286,46.811267965393725,9.833925055286553,1
0,9,-31.0,-40.0,23.35440444946289,-30.112072124652496,-41.14618320563032,24.732028544530873,0.4439639376737516,-0.5730916028151596,0.6888120475339906,0.9156393717579716,0.07752783147787895,-0.21439941306616028,-0.3310994834032374,46.46385444997283,11.00559788795498,1
0,10,-30.0,-40.0,22.72000503540039,-29.13529249438134,-41.15342249694037,24.106330204067028,0.43235375280933025,-0.5767112484701876,0.6931625843333193,0.9170048788158636,0.07538795921473919,-0.20848170157335633,-0.3315932567806805,46.11902082861218,12.165619123411702,1
0,11,-29.0,-40.0,22.106403350830078,-28.158950499891674,-41.16055646381926,23.501302785432756,0.42052475005416223,-0.5802782319096298,0.6974497173013394,0.9183485002245109,0.07321810422334987,-0.2024810502213016,-0.33207915570027735,45.77724910763555,13.314249943556598,1
0,12,-28.0,-40.0,21.51360321044922,-27.18304516927054,-41.1675756161302,22.91693923049787,0.40847741536473003,-0.5837878080650993,0.7016680100243252,0.9196686288599968,0.07101843495132908,-0.19639798484049126,-0.3325565012722373,45.43901765832263,14.451756535700156,1
0,13,-27.0,-40.0,20.941604614257812,-26.207574147560234,-41.17447062785224,22.353227797935908,0.3962129262198824,-0.5872353139261199,0.7058115918390471,0.9209635353589191,0.06878926121659049,-0.19023330327544974,-0.3330247654535429,45.10485132872211,15.578416126962864,1
0,14,-26.0,-40.0,20.390403747558594,-25.232534407556017,-41.181231803820516,21.810153017696646,0.38373279622199236,-0.590615901910258,0.7098746350690264,0.9222315086764572,0.06653090965001922,-0.18398791111834206,-0.33348332946010345,44.775283790725375,16.694515775300722,1
0,15,-25.0,-40.0,19.860004425048828,-24.257921843321483,-41.187849154782384,21.28770691326666,0.371039078339258,-0.5939245773911919,0.7138512441089166,0.9234708223945743,0.0642437719965668,-0.17766291486967112,-0.33393152984639474,44.45086661396371,17.80034730484382,1
0,16,-24.0,-40.0,19.350406646728516,-23.28373193396943,-41.19431260381619,20.785877810476016,0.3581340330152851,-0.5971563019080983,0.7177355818737502,0.9246797734321696,0.06192824510921322,-0.171259452140445,-0.3343686724495576,44.13215904571955,18.89621235313418,1
0,17,-23.0,-40.0,18.86160659790039,-22.309958848504664,-41.20061232450054,20.304649651832047,0.3450205757476676,-0.6003061622502703,0.721521526965828,0.9258565817886756,0.0595848423804541,-0.16477889959980122,-0.33479419165177376,43.81975618611933,19.982423312905873,1
0,18,-22.0,-40.0,18.393604278564453,-21.336595983593686,-41.20673822670237,19.844010415903643,0.3317020082031574,-0.603369113351185,0.725203068669595,0.9269995043157424,0.05721410082458048,-0.1582227511974293,-0.3352074382657982,43.514256627479305,21.05929902492755,1
